feature,score
drx412,1763
drx999,1718
drx363,1603
drx735,1582
drx189,1554
drx148,1483
drx193,1408
drx606,1394
drx944,1370
drx367,1310
drx995,1291
drx951,1278
drx767,1134
drx791,1085
drx368,1065
drx406,1062
drx191,1041
drx235,1030
drx490,1026
drx879,991
drx554,987
drx175,956
drx404,955
drx29,947
drx1018,925
drx591,919
drx114,915
drx135,912
drx58,902
drx53,889
drx357,872
drx138,863
drx172,836
drx2,835
drx210,830
drx392,829
drx605,828
drx352,826
drx407,824
drx878,822
drx424,810
drx162,799
drx171,795
drx494,784
drx954,779
drx943,773
drx383,769
drx592,768
drx607,757
drx1055,754
drx236,744
drx40,739
drx190,738
drx1026,738
drx161,726
drx41,720
drx866,717
drx358,713
drx395,711
drx82,710
drx137,705
drx1024,705
drx192,702
drx941,700
drx6,696
drx856,694
drx486,691
drx292,689
drx413,687
drx933,686
drx966,684
drx462,683
drx226,675
drx99,674
drx356,667
drx824,666
drx1067,665
drx956,662
drx418,661
drx346,656
drx780,655
drx428,648
drx218,647
drx398,629
drx700,621
drx329,620
drx119,614
drx552,609
drx583,602
drx384,602
drx337,601
drx43,600
drx50,597
drx593,593
drx208,591
drx96,590
drx134,585
drx551,582
drx234,579
drx145,573
drx266,572
drx422,570
drx212,569
drx362,565
drx205,564
drx76,563
drx940,560
drx950,559
drx130,558
drx766,555
drx295,553
drx131,553
drx864,550
drx159,550
drx963,549
drx107,549
drx11,544
drx458,543
drx284,540
drx828,538
drx433,536
drx38,534
drx35,532
drx168,530
drx578,528
drx37,524
drx72,521
drx115,520
drx93,515
drx110,510
drx769,505
drx778,500
drx365,496
drx1005,495
drx481,493
drx244,491
drx211,490
drx79,484
drx556,483
drx887,483
drx1011,480
drx146,480
drx689,475
drx71,474
drx120,473
drx730,472
drx83,471
drx65,469
drx957,469
drx230,469
drx136,468
drx27,467
drx852,465
drx652,465
drx772,461
drx325,460
drx179,459
drx914,456
drx342,455
drx39,454
drx8,453
drx101,452
drx326,450
drx73,448
drx92,447
drx122,445
drx142,443
drx28,440
drx169,440
drx364,439
drx890,438
drx199,438
drx359,437
drx187,436
drx559,431
drx55,431
drx239,430
drx222,429
drx829,428
drx748,427
drx955,426
drx289,426
drx851,424
drx564,422
drx255,422
drx953,422
drx305,421
drx157,420
drx390,419
drx409,419
drx373,417
drx10,416
drx16,415
drx988,415
drx111,413
drx675,413
drx380,413
drx471,410
drx651,409
drx992,406
drx231,406
drx85,404
drx645,404
drx820,403
drx400,403
drx149,400
drx98,400
drx382,400
drx228,399
drx1022,399
drx95,398
drx158,398
drx74,397
drx42,394
drx842,394
drx183,390
drx1029,389
drx353,388
drx408,386
drx19,379
drx584,377
drx476,377
drx121,377
drx967,376
drx123,375
drx299,373
drx800,371
drx70,371
drx156,371
drx475,370
drx51,369
drx30,365
drx286,365
drx477,363
drx267,363
drx460,361
drx737,361
drx771,361
drx431,361
drx57,361
drx1019,359
drx180,359
drx435,357
drx223,356
drx397,356
drx21,355
drx26,355
drx924,352
drx361,351
drx13,351
drx548,351
drx206,348
drx1004,348
drx952,348
drx656,348
drx165,347
drx304,347
drx113,345
drx977,342
drx366,339
drx549,337
drx298,336
drx942,336
drx293,335
drx133,335
drx482,334
drx112,334
drx579,333
drx272,331
drx655,331
drx323,329
drx215,327
drx909,327
drx822,324
drx343,321
drx946,320
drx330,319
drx22,317
drx86,316
drx140,316
drx399,315
drx106,315
drx997,311
drx474,311
drx62,310
drx1001,307
drx379,306
drx429,305
drx423,304
drx270,303
drx173,301
drx996,301
drx237,301
drx14,299
drx3,299
drx84,298
drx18,298
drx679,298
drx1103,298
drx1003,297
drx348,297
drx322,294
drx240,293
drx340,293
drx229,292
drx1020,292
drx565,291
drx499,291
drx657,291
drx268,290
drx768,289
drx185,288
drx204,287
drx227,287
drx167,287
drx746,285
drx294,284
drx937,282
drx241,280
drx118,280
drx94,280
drx986,280
drx209,278
drx1023,277
drx214,276
drx893,275
drx181,273
drx1057,271
drx197,269
drx124,269
drx154,269
drx104,268
drx396,266
drx483,265
drx238,264
drx67,263
drx200,263
drx129,263
drx982,262
drx984,260
drx88,259
drx273,259
drx461,257
drx469,255
drx184,255
drx132,255
drx550,254
drx981,254
drx20,253
drx480,252
drx109,252
drx825,252
drx125,252
drx59,252
drx186,251
drx947,250
drx49,250
drx219,248
drx344,248
drx166,248
drx126,248
drx630,247
drx44,246
drx582,245
drx736,245
drx685,245
drx763,244
drx659,244
drx89,243
drx347,243
drx75,242
drx216,242
drx699,242
drx66,241
drx568,241
drx52,241
drx178,240
drx968,237
drx141,236
drx196,235
drx821,235
drx558,234
drx155,234
drx25,232
drx105,232
drx777,232
drx681,232
drx1090,231
drx1,231
drx9,231
drx792,229
drx555,229
drx1009,229
drx147,228
drx880,228
drx1064,227
drx370,227
drx4,227
drx430,226
drx1010,224
drx634,224
drx472,224
drx372,224
drx990,223
drx338,221
drx1016,220
drx667,220
drx789,219
drx100,219
drx470,219
drx991,219
drx296,218
drx1021,218
drx576,218
drx646,217
drx47,217
drx252,216
drx377,216
drx34,215
drx1059,215
drx153,214
drx17,213
drx729,213
drx371,213
drx152,213
drx91,212
drx858,212
drx203,211
drx220,211
drx949,210
drx601,210
drx961,209
drx1002,209
drx993,206
drx386,206
drx857,206
drx921,205
drx585,204
drx987,204
drx102,203
drx843,203
drx959,203
drx81,202
drx891,202
drx427,202
drx764,201
drx403,201
drx401,200
drx164,200
drx873,199
drx595,198
drx61,197
drx546,196
drx297,195
drx339,195
drx46,193
drx869,192
drx935,191
drx128,191
drx15,190
drx732,190
drx213,189
drx87,188
drx849,187
drx31,187
drx36,187
drx307,187
drx194,186
drx388,186
drx626,186
drx176,185
drx182,185
drx633,184
drx150,184
drx738,183
drx233,183
drx734,182
drx24,182
drx336,182
drx246,181
drx355,181
drx721,181
drx434,180
drx1060,180
drx160,180
drx485,178
drx865,178
drx979,178
drx478,177
drx827,177
drx717,177
drx283,177
drx414,176
drx1077,176
drx945,175
drx779,174
drx327,174
drx394,174
drx163,174
drx78,172
drx807,171
drx350,171
drx985,171
drx506,170
drx405,170
drx56,170
drx464,169
drx563,169
drx838,169
drx144,168
drx345,168
drx306,168
drx195,168
drx143,167
drx354,166
drx331,166
drx751,164
drx201,164
drx151,164
drx97,163
drx920,163
drx698,163
drx117,162
drx1049,162
drx274,162
drx818,161
drx198,161
drx45,161
drx282,161
drx217,159
drx188,159
drx978,159
drx108,158
drx177,158
drx389,158
drx557,157
drx497,157
drx90,157
drx826,156
drx1105,156
drx647,155
drx762,155
drx731,154
drx1072,154
drx224,154
drx881,154
drx1017,153
drx733,153
drx918,153
drx139,153
drx524,152
drx509,151
drx436,151
drx387,151
drx874,150
drx63,150
drx479,150
drx54,150
drx1008,149
drx473,149
drx1104,149
drx649,148
drx48,147
drx459,147
drx631,145
drx7,145
drx207,144
drx484,143
drx68,143
drx360,143
drx847,143
drx976,142
drx560,142
drx908,142
drx889,141
drx706,140
drx980,140
drx823,139
drx77,138
drx288,138
drx511,137
drx393,137
drx998,137
drx1062,136
drx687,136
drx868,136
drx806,135
drx385,135
drx983,134
drx127,134
drx341,133
drx432,132
drx1063,132
drx374,132
drx690,131
drx1015,130
drx391,130
drx232,130
drx994,129
drx964,129
drx1007,129
drx1083,128
drx80,128
drx23,127
drx790,125
drx103,125
drx257,125
drx760,125
drx590,124
drx745,123
drx533,123
drx580,122
drx794,121
drx713,121
drx653,120
drx882,120
drx960,119
drx349,119
drx1068,118
drx1106,116
drx277,115
drx809,114
drx60,114
drx351,114
drx258,114
drx1048,112
drx770,112
drx683,112
drx225,112
drx867,111
drx512,110
drx381,110
drx752,110
drx535,109
drx610,109
drx420,108
drx174,108
drx612,108
drx686,107
drx673,106
drx1006,105
drx525,104
drx517,104
drx33,104
drx259,104
drx795,103
drx577,103
drx586,103
drx846,103
drx709,103
drx707,102
drx765,101
drx1102,100
drx332,100
drx269,99
drx465,98
drx170,98
drx836,98
drx705,97
drx841,97
drx581,96
drx510,95
drx749,95
drx844,95
drx840,95
drx648,95
drx1066,95
drx684,95
drx530,95
drx64,93
drx747,93
drx561,93
drx573,93
drx534,91
drx704,90
drx245,89
drx613,89
drx221,89
drx369,88
drx602,88
drx643,88
drx1028,88
drx287,88
drx676,87
drx600,87
drx902,87
drx628,87
drx271,86
drx375,86
drx803,85
drx678,85
drx1073,84
drx888,83
drx553,82
drx1101,82
drx402,82
drx905,82
drx243,81
drx875,81
drx328,81
drx958,80
drx850,80
drx285,80
drx1025,79
drx805,78
drx1074,77
drx629,77
drx654,76
drx410,75
drx863,75
drx962,75
drx260,74
drx562,74
drx708,71
drx753,70
drx514,69
drx722,69
drx650,69
drx839,69
drx575,69
drx970,69
drx521,68
drx614,68
drx513,67
drx608,67
drx5,67
drx781,66
drx1000,66
drx796,65
drx1058,65
drx622,65
drx527,63
drx522,63
drx1078,63
drx526,62
drx804,61
drx12,61
drx263,61
drx716,61
drx1013,60
drx759,59
drx1069,59
drx202,58
drx1080,57
drx256,57
drx677,57
drx32,57
drx712,57
drx627,57
drx611,55
drx254,54
drx750,54
drx116,53
drx519,52
drx623,52
drx928,51
drx793,50
drx520,49
drx467,49
drx253,49
drx761,49
drx528,48
drx965,48
drx674,48
drx69,48
drx378,48
drx1071,44
drx1065,44
drx572,44
drx1087,43
drx529,43
drx930,43
drx1053,43
drx609,42
drx816,42
drx848,42
drx672,41
drx1076,41
drx758,41
drx680,40
drx1054,40
drx624,40
drx682,39
drx1092,39
drx975,39
drx1085,38
drx819,38
drx618,38
drx376,38
drx574,37
drx948,36
drx1091,36
drx599,36
drx1012,35
drx932,34
drx1075,34
drx547,34
drx1099,34
drx1061,32
drx1056,32
drx571,31
drx1089,30
drx1096,30
drx837,30
drx757,30
drx926,28
drx1084,24
drx1094,23
drx1082,22
drx1070,22
drx969,21
drx1097,21
drx862,20
drx784,19
drx1100,19
drx1088,17
drx419,14
drx324,14
drx892,10
drx697,8
drx894,6
drx1086,4
drx899,3
drx896,3
drx895,2
drx898,1
drx897,1
drx901,1
